word,Orthography,bucket_q,uni_prob,bi_prob_smoothed,group
b1 i1 r u,birru,uni2-bi1,-16.84000779,-22.86713321,2
u1 o1 l u,huolu,uni2-bi1,-16.38573773,-25.38532776,3
ɲ o s1 a1,ñosá,uni2-bi1,-16.40649548,-21.41065482,4
m1 u1 t u,mutu,uni2-bi1,-16.81692048,-19.98756196,5
g1 e1 u i,guehui,uni2-bi1,-16.09261594,-25.1405171,1
x1 e1 i u,geyu,uni2-bi1,-16.43589405,-22.88216201,2
u1 o1 p u,huopu,uni2-bi1,-16.64475848,-25.78361628,3
g i u1 o1,guihuó,uni2-bi1,-16.5245353,-24.14196038,4
u1 o1 m u,huomu,uni2-bi1,-16.41862847,-25.22373126,5
u1 o1 d u,huodu,uni2-bi1,-16.19165963,-26.11905335,1
u1 o1 b u,huobu,uni2-bi1,-16.65932844,-25.19606201,2
i1 o1 g u,yogu,uni2-bi1,-16.38130359,-19.94418271,3
n1 o1 p u,nopu,uni2-bi1,-15.81143102,-22.92209464,4
u1 o1 i u,huoyu,uni2-bi1,-15.85238627,-27.43391995,5
k i x1 u1,quijú,uni2-bi2,-16.84004676,-17.48317663,1
r i r1 a1,rirrá,uni2-bi2,-16.8407509,-18.76296075,2
m1 e1 t u,metu,uni2-bi2,-15.75196842,-18.3395366,3
ɲ1 i1 t a,ñita,uni2-bi2,-16.17385007,-18.72256173,4
r1 o1 k i,roqui,uni2-bi2,-16.6017868,-18.31872906,5
b1 e1 m u,bemu,uni2-bi2,-15.97723448,-18.31230074,1
g e x1 a1,guejá,uni2-bi2,-15.96388491,-16.68977863,2
i o r1 u1,yorrú,uni2-bi2,-16.2080013,-17.90464295,3
g1 u1 m i,gumi,uni2-bi2,-16.62951757,-17.90294512,4
t͡ʃ o i1 e1,choyé,uni2-bi2,-15.73483632,-17.09606927,5
n i t͡ʃ1 a1,nichá,uni2-bi2,-15.97104805,-18.72813993,1
t͡ʃ1 e1 p o,chepo,uni2-bi2,-16.62142576,-17.48686381,2
i1 u1 t͡ʃ o,yucho,uni2-bi2,-16.79978838,-17.13042837,3
l o t͡ʃ1 e1,loché,uni2-bi2,-16.362405,-17.51718803,4
t u f1 a1,tufá,uni2-bi2,-16.37152375,-17.90591555,5
g e f1 i1,guefí,uni2-bi2,-16.39556336,-18.33931708,1
x1 o1 ɾ i,jori,uni2-bi2,-16.0089221,-17.53022266,2
g1 o1 f e,gofe,uni2-bi2,-16.81600519,-16.70958164,3
p1 a1 f i,pafi,uni2-bi2,-16.21162133,-17.4346252,4
ɲ1 i1 t o,ñito,uni2-bi2,-16.36752353,-18.75291423,5
n a ɲ1 a1,nañá,uni2-bi2,-15.77197036,-16.6900308,1
r o l1 u1,rolú,uni2-bi2,-16.39851471,-17.11125314,2
n u b1 o1,nubó,uni2-bi2,-15.95635211,-17.0938935,3
m a r1 u1,marrú,uni2-bi2,-16.58057005,-17.05264039,4
t a ɲ1 i1,tañí,uni2-bi2,-16.17385007,-17.08648186,5
u1 i1 t͡ʃ o,huicho,uni2-bi2,-16.79978838,-17.9224158,1
x1 i1 m i,gimi,uni2-bi2,-15.73527134,-17.52418298,2
p1 i1 x i,pigi,uni2-bi2,-16.6203118,-16.7067625,3
ɲ1 a1 n o,ñano,uni2-bi2,-15.96564382,-17.90274981,4
g1 u1 d i,gudi,uni2-bi2,-16.40254872,-16.66477138,5
t u m1 u1,tumú,uni2-bi2,-16.81692048,-18.32664649,1
n e t͡ʃ1 o1,nechó,uni2-bi2,-16.18567151,-16.66738641,2
ɲ1 i1 t e,ñite,uni2-bi2,-16.17878166,-18.31111374,3
d1 a1 f i,dafi,uni2-bi2,-15.7071473,-17.92049691,4
ɲ1 i1 k o,ñico,uni2-bi2,-16.61033539,-18.7133365,5
l i r1 a1,lirá,uni2-bi2,-15.77251457,-18.7419917,1
r i x1 i1,rigí,uni2-bi3,-16.77061694,-15.98676326,2
r a f1 e1,rafé,uni2-bi3,-16.39835019,-15.95279698,3
r u ɾ1 o1,ruró,uni2-bi3,-16.15863586,-14.74423203,4
l1 i1 t͡ʃ o,licho,uni2-bi3,-16.79891387,-15.31557471,5
l u m1 o1,lumó,uni2-bi3,-16.59411766,-15.91988438,1
r1 i1 p o,ripo,uni2-bi3,-15.76284918,-15.03062129,2
x u s1 i1,jusí,uni2-bi3,-16.59308257,-15.02758601,3
t͡ʃ1 u1 s a,chusa,uni2-bi3,-16.19921046,-15.96109641,4
x1 u1 l o,julo,uni2-bi3,-16.41413985,-14.75505333,5
k1 u1 b i,cubi,uni2-bi3,-16.20731226,-15.0769135,1
t͡ʃ a d1 e1,chadé,uni2-bi3,-16.62416165,-14.7790884,2
r i p1 e1,ripé,uni2-bi3,-16.21015071,-16.22787479,3
k u f1 a1,cufá,uni2-bi3,-16.61433562,-15.62184796,4
t͡ʃ1 e1 d e,chede,uni2-bi3,-15.97958503,-15.32317855,5
x e p1 o1,gepó,uni2-bi3,-16.57785632,-15.34131984,1
f1 a1 f e,fafe,uni2-bi3,-16.4047524,-16.25194222,2
f e g1 o1,fegó,uni2-bi3,-16.81600519,-14.76437004,3
t͡ʃ a b1 a1,chabá,uni2-bi3,-16.40712118,-15.63644261,4
d1 o1 x i,dogi,uni2-bi3,-16.78788925,-16.30713158,5
t͡ʃ a ɾ1 o1,charó,uni2-bi3,-15.98282819,-15.05301467,1
b i x1 i1,bigí,uni2-bi3,-15.97597131,-14.74357272,2
x u i1 o1,juyó,uni2-bi3,-16.7991831,-15.65799628,3
x1 e1 g e,gegue,uni2-bi3,-16.39353613,-15.34247188,4
t͡ʃ a b1 e1,chabé,uni2-bi3,-16.83677241,-15.06654254,5
p i k1 u1,picú,uni2-bi3,-16.1927423,-15.35696646,1
m1 u1 g e,mugue,uni2-bi3,-16.58388115,-16.24126765,2
l1 u1 g a,luga,uni2-bi3,-16.36969512,-15.02467035,3
x o b1 e1,jobé,uni2-bi3,-15.97525573,-15.6000379,4
x1 i1 b i,gibi,uni2-bi3,-15.97597131,-16.21226168,5
