vowel_stress_word,uni_prob,bi_prob_smoothed,response,exp,condition
tʃuˈtʃu,-20.91648326394261,-20.892423595209383,-0.23488079117695082,uni_contrast,low
ˈtʃutʃu,-20.916483263942613,-22.13308354153351,0.17024382325574136,uni_contrast,low
fuˈtʃu,-19.85064346422103,-18.135561404547193,-0.15921678379560444,uni_contrast,low
xuˈtʃo,-18.8699779050032,-15.740248931891784,0.3995028278678989,uni_contrast,low
ruˈtʃo,-18.574347318728723,-15.306791009150924,0.41676283345700343,uni_contrast,low
ˈfutʃo,-18.11326364197979,-14.26070919110087,0.4199180780156071,uni_contrast,low
ˈfutʃa,-17.919510089395818,-13.8854646254003,0.3410071286801554,uni_contrast,low
fuˈtʃe,-18.352894966869385,-15.592939876006708,-0.27707814863125313,uni_contrast,low
ˈrutʃo,-17.84156024395139,-13.991704473857611,0.515900847941247,uni_contrast,low
puˈtʃu,-18.71925868660639,-17.55358072898801,-0.09811504580997892,uni_contrast,low
ˈrutʃa,-17.647806691367418,-13.616459908157042,0.18950373351823285,uni_contrast,low
xuˈtʃe,-18.376822155115462,-16.51810439179132,0.06705274462490665,uni_contrast,low
ˈgutʃo,-17.682507593523923,-14.116560603916286,0.6952492255858166,uni_contrast,low
tʃuˈgu,-19.419887415765167,-20.847364063785367,-0.28343847127808497,uni_contrast,low
puˈtʃo,-17.71466593914248,-14.233103740547987,0.4839655202936074,uni_contrast,low
tʃiˈtʃo,-18.958383844044615,-19.15251585520339,0.3850213733823523,uni_contrast,low
kuˈtʃo,-17.431805665307586,-13.288559051789074,0.32774037611049806,uni_contrast,low
ˈtʃuɲu,-20.842821123271975,-26.71682394753379,-0.16685478536362489,uni_contrast,low
ˈrutʃi,-18.625433393758545,-18.037612467536587,0.15562481495190256,uni_contrast,low
buˈtʃu,-18.63089039854606,-18.12566005824496,-0.22501521928150453,uni_contrast,low
ruˈtʃe,-18.08119156884099,-16.08464646905046,0.22544310588060223,uni_contrast,low
ˈgutʃa,-17.488754040939952,-13.741316038215714,0.025116111055035067,uni_contrast,low
ˈtʃotʃe,-17.984752565555212,-17.0140577075508,0.43699168443180086,uni_contrast,low
ˈtʃufe,-17.923505513297545,-16.783372316288705,0.22272517579755444,uni_contrast,low
ˈtʃetʃo,-17.681354944349724,-15.976184443988457,0.32020443677429017,uni_contrast,low
ˈputʃo,-16.98187886436515,-13.300367402914087,0.7748381034427595,uni_contrast,low
xuˈxo,-17.828065293527697,-16.54737144443708,0.027265533181946192,uni_contrast,low
tʃiˈɲo,-18.88472170337398,-20.745627899567857,0.04117988926470645,uni_contrast,low
xuˈgu,-18.377974804289664,-19.01566638890779,0.022939741555441394,uni_contrast,low
ˈputʃa,-16.78812531178118,-12.925122837213516,0.42509169169829253,uni_contrast,low
ˈkutʃo,-16.699018590530255,-12.652939593151627,0.5865831703436417,uni_contrast,low
ˈtʃuɲo,-19.105441301030737,-22.13988346160659,0.29104849462177623,uni_contrast,low
ˈkutʃa,-16.505265037946284,-12.277695027451056,0.15065248609910087,uni_contrast,low
ruˈgu,-18.082344218015187,-18.582208466166932,-0.47319673314493454,uni_contrast,low
ˈtʃoxo,-17.132598082761955,-15.191937936614796,0.22088151259078523,uni_contrast,low
ˈbutʃa,-16.699757023720846,-13.615627256723544,0.4502623582562437,uni_contrast,low
