word,bucket_q,uni_prob,bi_prob_smoothed
ɲ o g1 u1,uni1-bi1,-19.412381018456134,-23.76595891360597
ɲ1 u1 x a,uni1-bi1,-19.40501417134755,-21.129725699980288
u1 u1 u u,uni1-bi1,-17.51215176241919,-35.13887147453227
tʃ1 e1 u u,uni1-bi1,-18.543403880426087,-31.17027919298433
r1 o1 u u,uni1-bi1,-18.356878776967815,-28.9641909966192
ɲ i s1 u1,uni1-bi1,-18.4268638474668,-26.57133537122807
tʃ u i1 u1,uni1-bi1,-18.419846096116572,-23.81738372153741
u1 u1 ɲ a,uni1-bi1,-18.47899870670609,-21.16079545122703
u1 o1 u u,uni1-bi1,-16.94667889499437,-34.310043749435266
u u u1 u1,uni1-bi1,-17.51215176241919,-32.39803145060707
x1 i1 u u,uni1-bi1,-17.35761439468705,-29.12161983986666
ɲ u i1 a1,uni1-bi1,-17.56060225433327,-26.305946416150373
x1 u1 u i,uni1-bi1,-17.500846105660624,-23.838019884667503
ɲ o b1 i1,uni1-bi1,-17.49323301940288,-21.087820375731077
t1 o1 tʃ a,uni2-bi4,-16.74707507797699,-14.322285797133317
r1 u1 m o,uni2-bi4,-16.774243502911347,-13.637704636100208
f i k1 o1,uni2-bi4,-16.867606852358804,-12.968957354402797
k1 u1 x a,uni2-bi4,-16.86525271262944,-12.44614862706934
f1 u1 d o,uni2-bi4,-16.394661260503593,-11.900927733466755
k u d1 o1,uni2-bi4,-16.131353985619185,-11.67387265373248
r1 u1 m a,uni2-bi4,-16.580570049682994,-14.271760718250995
f1 a1 x e,uni2-bi4,-16.55636393009409,-13.702122792474972
s1 e1 ɲ a,uni2-bi4,-16.642473249989923,-13.062935210401218
p1 o1 x a,uni2-bi4,-16.572924733162512,-12.399438486864604
r e x1 e1,uni2-bi4,-16.22868226923184,-11.861652915873824
tʃ1 a1 d o,uni2-bi4,-15.738675672197516,-10.71105392080966
f1 u1 l e,uni2-bi4,-16.399997497802897,-14.258680041278836
tʃ1 o1 n o,uni2-bi4,-16.374413375739586,-13.60474140591508
f i t1 o1,uni2-bi4,-16.25971195791334,-12.967744241437272
r e g1 o1,uni2-bi4,-16.384883346577787,-12.424262728000343
f1 i1 g a,uni2-bi4,-16.39063177112091,-12.163324687308076
r1 o1 ɾ o,uni2-bi4,-15.810369920964874,-11.881392468974749
x1 a1 g o,uni2-bi4,-16.152626770284375,-14.30171353587208
p u t1 o1,uni2-bi4,-16.113667163579088,-13.695989352442282
f i d1 e1,uni2-bi4,-16.136798526868862,-12.992826737228896
f1 u1 ɾ o,uni2-bi4,-16.22322938788132,-12.31533596107746
g1 u1 d o,uni2-bi4,-15.876783637560203,-12.01665539239979
r1 o1 ɾ a,uni2-bi4,-15.616696467736515,-11.742151083955909
x a m1 e1,uni2-bi4,-15.93187701340405,-14.216498122569233
f a d1 o1,uni2-bi4,-15.91683917599539,-13.620684093399374
s1 e1 tʃ a,uni2-bi4,-16.007113809911214,-12.999708875000216
p1 o1 r e,uni2-bi4,-15.995122949233886,-12.374457731397747
m1 e1 x e,uni2-bi4,-15.936808604485533,-12.110531646014078
f1 i1 b o,uni2-bi4,-15.62480573814387,-12.06748334975895
