word,bucket_r,uni_prob,bi_prob_smoothed
l o l u,uni3-bi3,-12.69806912724752,-17.024108993743006
l i r o,uni3-bi3,-12.699503706622782,-15.611744251771286
l i r o,uni3-bi3,-12.699503706622782,-15.611744251771286
l o r i,uni3-bi3,-12.699503706622782,-16.765537245414045
l o r i,uni3-bi3,-12.699503706622782,-16.765537245414045
b a b u,uni3-bi3,-12.707393335298711,-15.58458357888228
b a b u,uni3-bi3,-12.707393335298711,-15.58458357888228
x i t i,uni3-bi3,-12.711480248082148,-15.08757595745302
x i t i,uni3-bi3,-12.711480248082148,-15.08757595745302
t i x i,uni3-bi3,-12.711480248082148,-15.21825647020915
t i x i,uni3-bi3,-12.711480248082148,-15.21825647020915
t u p i,uni3-bi3,-12.712446091264178,-15.993377452675585
t u p i,uni3-bi3,-12.712446091264178,-15.993377452675585
p i t u,uni3-bi3,-12.712446091264178,-16.171226054726176
p i t u,uni3-bi3,-12.712446091264178,-16.171226054726176
t i p u,uni3-bi3,-12.712446091264178,-18.068681150510397
t i p u,uni3-bi3,-12.712446091264178,-18.068681150510397
ɲ a s a,uni3-bi3,-12.712683098936258,-16.857772816255846
ɲ a s a,uni3-bi3,-12.712683098936258,-16.857772816255846
r a ɾ u,uni3-bi3,-12.714021011315154,-15.85192294049066
r a ɾ u,uni3-bi3,-12.714021011315154,-15.85192294049066
d o b u,uni3-bi3,-12.719790288948996,-15.56822962276215
d o b u,uni3-bi3,-12.719790288948996,-15.56822962276215
b o d u,uni3-bi3,-12.719790288948996,-18.215397038960273
b o d u,uni3-bi3,-12.719790288948996,-18.215397038960273
x e l i,uni3-bi3,-12.720877633299583,-14.945150035275873
x e l i,uni3-bi3,-12.720877633299583,-14.945150035275873
l e x i,uni3-bi3,-12.720877633299583,-15.070365831604564
l e x i,uni3-bi3,-12.720877633299583,-15.070365831604564
p e l u,uni3-bi3,-12.721843476481617,-15.65130466482582
p e l u,uni3-bi3,-12.721843476481617,-15.65130466482582
l e p u,uni3-bi3,-12.721843476481617,-17.591808090463996
l e p u,uni3-bi3,-12.721843476481617,-17.591808090463996
m e b u,uni3-bi3,-12.72269507326535,-16.087597904064243
m e b u,uni3-bi3,-12.72269507326535,-16.087597904064243
b e m u,uni3-bi3,-12.72269507326535,-16.241653836512715
b e m u,uni3-bi3,-12.72269507326535,-16.241653836512715
p e r i,uni3-bi3,-12.723278055856875,-15.192320549619271
p e r i,uni3-bi3,-12.723278055856875,-15.192320549619271
l i g i,uni3-bi3,-12.728343456394438,-16.57550253422378
l i g i,uni3-bi3,-12.728343456394438,-16.57550253422378
g i l i,uni3-bi3,-12.728343456394438,-16.680863049881605
g i l i,uni3-bi3,-12.728343456394438,-16.680863049881605
m u d i,uni3-bi3,-12.73063523653266,-15.098915898348986
m u d i,uni3-bi3,-12.73063523653266,-15.098915898348986
m i d u,uni3-bi3,-12.73063523653266,-16.555245695001368
m i d u,uni3-bi3,-12.73063523653266,-16.555245695001368
d u m i,uni3-bi3,-12.730635236532663,-15.530502344273696
d u m i,uni3-bi3,-12.730635236532663,-15.530502344273696
d i m u,uni3-bi3,-12.730635236532663,-16.170869431858105
d i m u,uni3-bi3,-12.730635236532663,-16.170869431858105
k i k u,uni3-bi3,-12.730771074362432,-15.588406899943433
k i k u,uni3-bi3,-12.730771074362432,-15.588406899943433
k u k i,uni3-bi3,-12.730771074362432,-15.611215833768744
k u k i,uni3-bi3,-12.730771074362432,-15.611215833768744
m o k u,uni3-bi3,-12.731580438343062,-15.614501895531095
m o k u,uni3-bi3,-12.731580438343062,-15.614501895531095
m u u a,uni3-bi3,-12.73935943608697,-18.04647126487219
m u u a,uni3-bi3,-12.73935943608697,-18.04647126487219
u u m a,uni3-bi3,-12.73935943608697,-18.26607444224381
u u m a,uni3-bi3,-12.73935943608697,-18.26607444224381
u a m u,uni3-bi3,-12.739359436086971,-18.915026439633152
u a m u,uni3-bi3,-12.739359436086971,-18.915026439633152
k u u e,uni3-bi3,-12.743006862489311,-15.620151733056169
k u u e,uni3-bi3,-12.743006862489311,-15.620151733056169
u e k u,uni3-bi3,-12.743006862489311,-17.338103725327883
u e k u,uni3-bi3,-12.743006862489311,-17.338103725327883
u u k e,uni3-bi3,-12.743006862489311,-20.638168581980313
u u k e,uni3-bi3,-12.743006862489311,-20.638168581980313
g e ɾ u,uni3-bi3,-12.74731755146978,-18.378687080459663
g e ɾ u,uni3-bi3,-12.74731755146978,-18.378687080459663
n u g a,uni3-bi3,-12.75232708760034,-15.369611366784268
n u g a,uni3-bi3,-12.75232708760034,-15.369611366784268
g a n u,uni3-bi3,-12.75232708760034,-16.644141925232624
g a n u,uni3-bi3,-12.75232708760034,-16.644141925232624
n a g u,uni3-bi3,-12.75232708760034,-18.11410494271082
