word,cnt,freq_per_mil,transcription
abominación,887,1.9633366991756562,a b o m i n a s j o n
abominaciones,165,0.36522046827957527,a b o m i n a s j o n e s
abonada,25,0.05533643458781443,a b o n a d a
abonado,122,0.27004180078853446,a b o n a d o
abonar,67,0.14830164469534268,a b o n a ɾ
abonará,13,0.02877494598566351,a b o n a ɾ a
abonarse,2,0.004426914767025155,a b o n a ɾ s e
abono,952,2.107211429103974,a b o n o
abonos,103,0.22798611050179549,a b o n o s
aborda,223,0.4936009965233048,a b o ɾ d a
abordaban,21,0.04648260505376413,a b o ɾ d a b a n
abordado,288,0.6374757264516223,a b o ɾ d a d o
abordados,211,0.46703950792115384,a b o ɾ d a d o s
abordaje,699,1.5472067110752916,a b o ɾ d a x e
abordamos,157,0.3475128092114747,a b o ɾ d a m o s
abordan,85,0.1881438775985691,a b o ɾ d a n
abordando,552,1.2218284756989428,a b o ɾ d a n d o
abordándola,10,0.022134573835125775,a b o ɾ d a n d o l a
abordar,2186,4.838617840358494,a b o ɾ d a ɾ
abordara,45,0.09960558225806598,a b o ɾ d a ɾ a
abordará,71,0.157155474229393,a b o ɾ d a ɾ a
abordáramos,7,0.015494201684588043,a b o ɾ d a ɾ a m o s
abordarán,68,0.15051510207885527,a b o ɾ d a ɾ a n
abordaré,53,0.1173132413261666,a b o ɾ d a ɾ e
abordaría,32,0.07083063627240248,a b o ɾ d a ɾ i a
abordarían,8,0.01770765906810062,a b o ɾ d a ɾ i a n
abordarlo,246,0.5445105163440941,a b o ɾ d a ɾ l o
abordarlos,176,0.38956849949821365,a b o ɾ d a ɾ l o s
abordarme,28,0.06197680673835217,a b o ɾ d a ɾ m e
abordarnos,114,0.25233414172043384,a b o ɾ d a ɾ n o s
abordaron,196,0.4338376471684652,a b o ɾ d a ɾ o n
abordarte,36,0.07968446580645279,a b o ɾ d a ɾ t e
abordas,39,0.08632483795699052,a b o ɾ d a s
abordaste,33,0.07304409365591506,a b o ɾ d a s t e
aborde,145,0.32095132060932374,a b o ɾ d e
abordé,80,0.1770765906810062,a b o ɾ d e
abordemos,93,0.20585153666666972,a b o ɾ d e m o s
aborden,218,0.4825337096057419,a b o ɾ d e n
