word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
i e d o,4,-10.161649920256338,-10.113755157650075,-11.422926715345973,-11.160056993781089,-11.4257527115123,-11.16222691561477,1.3531755019668446,1.359800194915135,1.3530491929305617,1.359712996157878,1.0168890184167994,1.020084200493401,1.0167271807216423,1.0199418515417986
i e g a,4,-11.00272168126166,-10.967339145522137,-11.66931371726011,-11.403753513738048,-11.677178170637761,-11.40945799450773,1.4282505046874898,1.432992897309127,1.4280651798221824,1.4328668453237348,1.0272581921542732,1.0305636064238444,1.0269279561534743,1.030306207684941
i e g i,4,-11.532538075688652,-11.477078208387388,-16.174337992043604,-15.564955755551132,-16.173064231805224,-15.565147741634366,1.391965164863487,1.38911966493357,1.3918083512657207,1.3890168721584397,1.0167732642381526,1.0205621593721554,1.016613361001334,1.0204149391496404
i e g i,4,-11.532538075688652,-11.477078208387388,-16.174337992043604,-15.564955755551132,-16.173064231805224,-15.565147741634366,1.391965164863487,1.38911966493357,1.3918083512657207,1.3890168721584397,1.0167732642381526,1.0205621593721554,1.016613361001334,1.0204149391496404
i e g u,4,-12.691116490257603,-12.59006319826891,-16.3879310952008,-15.532031251766327,-16.359706008600504,-15.52323447146166,1.3094338036951665,1.3054213420405152,1.3093418392549445,1.3053629215804696,1.0170353874360556,1.0211278646582984,1.0168712258801376,1.0209744124806654
i e g u,4,-12.691116490257603,-12.59006319826891,-16.3879310952008,-15.532031251766327,-16.359706008600504,-15.52323447146166,1.3094338036951665,1.3054213420405152,1.3093418392549445,1.3053629215804696,1.0170353874360556,1.0211278646582984,1.0168712258801376,1.0209744124806654
i e g e,4,-11.138805927286967,-11.048011101439112,-13.759887248903253,-13.632858966660613,-13.761231558228069,-13.633249299457596,1.412598005155567,1.4141363455921467,1.4124249792684145,1.4140202903286156,1.0162864640134757,1.0199020139804134,1.016134469083556,1.0197620660895408
i e g e,4,-11.138805927286967,-11.048011101439112,-13.759887248903253,-13.632858966660613,-13.761231558228069,-13.633249299457596,1.412598005155567,1.4141363455921467,1.4124249792684145,1.4140202903286156,1.0162864640134757,1.0199020139804134,1.016134469083556,1.0197620660895408
i e g o,4,-11.400910620046316,-11.334978258480103,-12.29468788020658,-11.847157363837297,-12.300889359249252,-11.851945412699134,1.3503250225680365,1.3559926018877704,1.3502009277829696,1.3559073712862717,1.0171851721205718,1.0209324901366348,1.0170185772394538,1.0207811902550472
i e g o,4,-11.400910620046316,-11.334978258480103,-12.29468788020658,-11.847157363837297,-12.300889359249252,-11.851945412699134,1.3503250225680365,1.3559926018877704,1.3502009277829696,1.3559073712862717,1.0171851721205718,1.0209324901366348,1.0170185772394538,1.0207811902550472
