word,transcription,no_spaces_ipa
clienta,klʝenta,klienta
cliente,klʝente,kliente
cliente,klʝente,kliente
clientela,klʝentela,klientela
clientes,klʝentes,klientes
coalición,koalisʝon,koalision
codicia,kodisʝa,kodisia
codicioso,kodisʝoso,kodisioso
coeficiente,koefisʝente,koefisiente
cogiendo,koxʝendo,koxiendo
cogiera,koxʝeɾa,koxieɾa
cogieron,koxʝeɾon,koxieɾon
cogió,koxʝo,koxio
coincidencia,koinsidensʝa,koinsidensia
coincidencias,koinsidensʝas,koinsidensias
colaboración,kolaboɾasʝon,kolaboɾasion
colegial,kolexʝal,kolexial
colegiala,kolexʝala,kolexiala
colegio,kolexʝo,kolexio
colegios,kolexʝos,kolexios
comandancia,komandansʝa,komandansia
combinación,kombinasʝon,kombinasion
combinaciones,kombinasʝones,kombinasiones
comercial,komeɾsʝal,komeɾsial
comerciales,komeɾsʝales,komeɾsiales
comerciante,komeɾsʝante,komeɾsiante
comerciantes,komeɾsʝantes,komeɾsiantes
comerciar,komeɾsʝaɾ,komeɾsiaɾ
comercio,komeɾsʝo,komeɾsio
comparación,kompaɾasʝon,kompaɾasion
compensación,kompensasʝon,kompensasion
competencia,kompetensʝa,kompetensia
competencias,kompetensʝas,kompetensias
competición,kompetisʝon,kompetision
complicación,komplikasʝon,komplikasion
complicaciones,komplikasʝones,komplikasiones
composición,komposisʝon,komposision
comprobación,kompɾobasʝon,kompɾobasion
computación,komputasʝon,komputasion
comunicación,komunikasʝon,komunikasion
comunicaciones,komunikasʝones,komunikasiones
concentración,konsentɾasʝon,konsentɾasion
concepción,konsepsʝon,konsepsion
conciencia,konsʝensʝa,konsiensia
concierne,konsʝeɾne,konsieɾne
concierto,konsʝeɾto,konsieɾto
conciertos,konsʝeɾtos,konsieɾtos
conciudadanos,konsʝudadanos,konsiudadanos
condición,kondisʝon,kondision
condicional,kondisʝonal,kondisional
condiciones,kondisʝones,kondisiones
condolencias,kondolensʝas,kondolensias
conduciendo,kondusʝendo,kondusiendo
conociendo,konosʝendo,konosiendo
conociéndote,konosʝendote,konosiendote
conociera,konosʝeɾa,konosieɾa
conociéramos,konosʝeɾamos,konosieɾamos
conocieran,konosʝeɾan,konosieɾan
conocieras,konosʝeɾas,konosieɾas
conocieron,konosʝeɾon,konosieɾon
conoció,konosʝo,konosio
consciencia,konssʝensʝa,konssiensia
consciente,konssʝente,konssiente
conscientemente,konssʝentemente,konssientemente
conscientes,konssʝentes,konssientes
consecuencia,konsekwensʝa,konsekwensia
consecuencias,konsekwensʝas,konsekwensias
conservación,konseɾbasʝon,konseɾbasion
consideración,konsideɾasʝon,konsideɾasion
consiguiendo,konsigʝendo,konsigiendo
consiguiente,konsigʝente,konsigiente
consiguiera,konsigʝeɾa,konsigieɾa
consiguieron,konsigʝeɾon,konsigieɾon
consiguió,konsigʝo,konsigio
consorcio,konsoɾsʝo,konsoɾsio
conspiración,konspiɾasʝon,konspiɾasion
conspiraciones,konspiɾasʝones,konspiɾasiones
constancia,konstansʝa,konstansia
constelación,konstelasʝon,konstelasion
constelaciones,konstelasʝones,konstelasiones
constitución,konstitusʝon,konstitusion
constitucional,konstitusʝonal,konstitusional
constituye,konstituʝe,konstituie
construí,konstɾwi,konstɾui
