,Unnamed: 0,word,cnt,frq,sa_phon_structure,sa_phon_CV_structure,sa_syll_accent,sa_NP,sa_avg_frq_Np,X,stressed_ipa,unsyllabified_ipa,syllabified_ipa,no_spaces_ipa
25154,25155,daiquiri,252,0.544733,daikiri,CVVCVCV,2,1,0.244265,,d a i k1 i1 ɾ i,d a i k i ɾ i,dai.ki.ɾi,daikiɾi
25155,25156,daiquiris,113,0.244265,daikiris,CVVCVCVC,2,1,0.544733,,d a i k1 i1 ɾ i s,d a i k i ɾ i s,dai.ki.ɾis,daikiɾis
25156,25157,dais,1532,3.311633,dais,CVVC,1,23,17.429868,,d1 a1 i1 s1,d a i s,dais,dais
25157,25158,dalai,530,1.145669,dalai,CVCVV,1,6,0.348745,,d1 a1 l a i,d a l a i,da.lai,dalai
25158,25159,dale,88600,191.521315,dale,CVCV,1,42,42.199436,,d1 a1 l e,d a l e,da.le,dale
25159,25160,dales,7459,16.123674,dales,CVCVC,1,36,11.765567,,d1 a1 l e s,d a l e s,da.les,dales
25160,25161,dalia,512,1.10676,dalja,CVCVV,1,13,0.573999,,d1 a1 l j a,d a l j a,da.lja,dalja
25161,25162,dálmata,103,0.222649,dalmata,CVCCVCV,1,1,0.185901,,d1 a1 l1 m a t a,d a l m a t a,dal.ma.ta,dalmata
25162,25163,dálmatas,86,0.185901,dalmatas,CVCCVCVC,1,1,0.222649,,d1 a1 l1 m a t a s,d a l m a t a s,dal.ma.tas,dalmatas
25163,25164,dalo,1481,3.201389,dalo,CVCV,1,38,20.548153,,d1 a1 l o,d a l o,da.lo,dalo
25164,25165,daltónica,52,0.112405,daltonika,CVCCVCVCV,2,1,0.415035,,d a l t1 o1 n i k a,d a l t o n i k a,dal.to.ni.ka,daltonika
25165,25166,daltónico,192,0.415035,daltoniko,CVCCVCVCV,2,2,0.086466,,d a l t1 o1 n i k o,d a l t o n i k o,dal.to.ni.ko,daltoniko
25166,25167,daltonismo,22,0.047556,daltonizmo,CVCCVCVCCV,3,0,0.0,,d a l t o n1 i1 s1 m o,d a l t o n i s m o,dal.to.nis.mo,daltonismo
25167,25168,dama,24664,53.314692,dama,CVCV,1,41,43.75671,,d1 a1 m a,d a m a,da.ma,dama
