Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,randomiser-dxqf,randomiser-ibiw,branch-tihy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
4,1700602748981,21/11/2023 21:39:08,1700602748061,-8,21/11/2023 13:39:08,121155,36,task-gbnv,,33112784,BLIND,9806199,,complete,,655d22d686d182386bf4e14d,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1351x745,,,,Audio Check,8,SoundCheckPassed,2,test passed,,6,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,4403.000000000004,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Audio Check,cura
5,1700602749569,21/11/2023 21:39:09,1700602749250,-8,21/11/2023 13:39:09,121155,36,task-gbnv,,33112784,BLIND,9806199,,complete,,655d22d686d182386bf4e14d,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1351x745,,,,Audio Check,8,SoundCheckPassed,2,test passed,,6,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,5591,,,cura,1,1,0,0,,,,,,Audio Check,cura
6,1700602752575,21/11/2023 21:39:12,1700602751621,-8,21/11/2023 13:39:11,121155,36,task-gbnv,,33112784,BLIND,9806199,,complete,,655d22d686d182386bf4e14d,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1351x745,,,,Audio Check,8,SoundCheckPassed,2,test passed,,6,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,2362,,,,,0,1,0,,,,,,Audio Check,cura
7,1700602753021,21/11/2023 21:39:13,1700602751624,-8,21/11/2023 13:39:11,121155,36,task-gbnv,,33112784,BLIND,9806199,,complete,,655d22d686d182386bf4e14d,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1351x745,,,,Audio Check,8,SoundCheckPassed,2,test passed,,6,,,,,,,yes,Spreadsheet1,,,END TASK,,,,,25119,,,,,0,1,0,,,,,,,
1,1700791740280,24/11/2023 02:09:00,1700791742374,-8,23/11/2023 18:09:02,121155,36,task-gbnv,,33181029,BLIND,9823936,,complete,,6560053e93f24d1bdbabe3bf,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1423x889,1415x767,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1700791752118,24/11/2023 02:09:12,1700791754256,-8,23/11/2023 18:09:14,121155,36,task-gbnv,,33181029,BLIND,9823936,,complete,,6560053e93f24d1bdbabe3bf,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1423x889,1415x767,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,11866.600000023842,,,,,0,1,0,,,,,,Instructions,
3,1700791754188,24/11/2023 02:09:14,1700791756344,-8,23/11/2023 18:09:16,121155,36,task-gbnv,,33181029,BLIND,9823936,,complete,,6560053e93f24d1bdbabe3bf,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1423x889,1415x767,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,2083,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1700791755795,24/11/2023 02:09:15,1700791757950,-8,23/11/2023 18:09:17,121155,36,task-gbnv,,33181029,BLIND,9823936,,complete,,6560053e93f24d1bdbabe3bf,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1423x889,1415x767,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,3689.7000000476837,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Audio Check,cura
5,1700791756883,24/11/2023 02:09:16,1700791759033,-8,23/11/2023 18:09:19,121155,36,task-gbnv,,33181029,BLIND,9823936,,complete,,6560053e93f24d1bdbabe3bf,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1423x889,1415x767,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,4771.600000023842,,,cura,1,1,0,0,,,,,,Audio Check,cura
6,1700791758513,24/11/2023 02:09:18,1700791760683,-8,23/11/2023 18:09:20,121155,36,task-gbnv,,33181029,BLIND,9823936,,complete,,6560053e93f24d1bdbabe3bf,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1423x889,1415x767,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,1647.3999999761581,,,,,0,1,0,,,,,,Audio Check,cura
7,1700791758704,24/11/2023 02:09:18,1700791760686,-8,23/11/2023 18:09:20,121155,36,task-gbnv,,33181029,BLIND,9823936,,complete,,6560053e93f24d1bdbabe3bf,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1423x889,1415x767,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,,,END TASK,,,,,18312,,,,,0,1,0,,,,,,,
1,1701129275488,27/11/2023 23:54:35,1701129275371,-6,27/11/2023 17:54:35,121155,36,task-gbnv,,33260444,BLIND,9846813,,complete,,65652afa3fff62c11976dc16,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,,Audio Check,8,SoundCheckPassed,8,test passed,,,,,,,,5,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1701129295829,27/11/2023 23:54:55,1701129295764,-6,27/11/2023 17:54:55,121155,36,task-gbnv,,33260444,BLIND,9846813,,complete,,65652afa3fff62c11976dc16,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,,Audio Check,8,SoundCheckPassed,8,test passed,,,,,,,,5,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,20357.39999999944,,,,,0,1,0,,,,,,Instructions,
3,1701129299820,27/11/2023 23:54:59,1701129299748,-6,27/11/2023 17:54:59,121155,36,task-gbnv,,33260444,BLIND,9846813,,complete,,65652afa3fff62c11976dc16,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,,Audio Check,8,SoundCheckPassed,8,test passed,,,,,,,,5,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,3976.0999999996275,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1701129303122,27/11/2023 23:55:03,1701129303056,-6,27/11/2023 17:55:03,121155,36,task-gbnv,,33260444,BLIND,9846813,,complete,,65652afa3fff62c11976dc16,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,,Audio Check,8,SoundCheckPassed,8,test passed,,,,,,,,5,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,7283.399999999441,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Audio Check,cura
5,1701129305455,27/11/2023 23:55:05,1701129305400,-6,27/11/2023 17:55:05,121155,36,task-gbnv,,33260444,BLIND,9846813,,complete,,65652afa3fff62c11976dc16,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,,Audio Check,8,SoundCheckPassed,8,test passed,,,,,,,,5,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,9627.299999999814,,,cura,1,1,0,0,,,,,,Audio Check,cura
