Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,randomiser-dxqf,randomiser-ibiw,branch-tihy,Randomise questionnaire elements?,consent-response-1,consent-response-2,consent-response-text,consent-response-other,END QUESTIONNAIRE
1,1696986974114,11/10/2023 01:16:14,1696986974755,-4,10/10/2023 21:16:14,121155,36,questionnaire-p3ei,,32155776,BLIND,9509378,,complete,,6525f74334196850d90f5253,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x739,,,,Consent,9,SoundCheckPassed,7,test passed,,,,,,,2,,yes,No,Si,,,,17592
1,1698538419313,29/10/2023 00:13:39,1698538421063,-6,28/10/2023 18:13:41,121155,36,questionnaire-p3ei,,32553001,BLIND,9632680,,complete,,653da382629998c0df531052,mobile,undefined K,Android 10,Chrome 118.0.0.0,486x1079,486x938,,,,Consent,9,SoundCheckPassed,1,test passed,8,,,,,,,,yes,No,Si,,,,15113
1,1696981022045,10/10/2023 23:37:02,1696981024493,-7,10/10/2023 16:37:04,121155,36,questionnaire-p3ei,,32155276,BLIND,9509177,,complete,,6525e010c4e33e4dcd323527,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x963,,,,Consent,9,SoundCheckPassed,8,test passed,,,,,,,,7,yes,No,Si,,,,4450
1,1698692238756,30/10/2023 18:57:18,1698692237473,-7,30/10/2023 11:57:17,121155,36,questionnaire-p3ei,,32584135,BLIND,9642250,,complete,,653ffc7ee773b8bbd3910817,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1440x900,1440x820,,,,Consent,9,SoundCheckPassed,8,test passed,,,,,,,,6,yes,No,Si,,,,3434
1,1696977302428,10/10/2023 22:35:02,1696977302197,-4,10/10/2023 18:35:02,121155,36,questionnaire-p3ei,,32154681,BLIND,9508951,,complete,,6525d1844dd9112ec01def33,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,1440x900,1324x694,,,,Consent,9,SoundCheckPassed,3,test passed,,,8,,,,,,yes,No,Si,,,,10781
1,1696970444866,10/10/2023 20:40:44,1696970444132,-4,10/10/2023 16:40:44,121155,36,questionnaire-p3ei,,32152772,BLIND,9508448,,complete,,6525b6c2250c9b4195114d13,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1925x986,1920x983,,,,Consent,9,SoundCheckPassed,2,test passed,,1,,,,,,,yes,No,Si,,,,4108
1,1696968648447,10/10/2023 20:10:48,1696968648173,-4,10/10/2023 16:10:48,121155,36,questionnaire-p3ei,,32151922,BLIND,9508170,,complete,,6525af2cd35e0dd06947d333,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x707,,,,Consent,9,SoundCheckPassed,4,test passed,,,,6,,,,,yes,No,Si,,,,80606
1,1696957213099,10/10/2023 17:00:13,1696957212924,-4,10/10/2023 13:00:12,121155,36,questionnaire-p3ei,,32144082,BLIND,9505591,,complete,,6525830e98454db3f0e2ea56,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x758,,,,Consent,9,SoundCheckPassed,5,test passed,,,,,3,,,,yes,No,Si,,,,15039
1,1696956342655,10/10/2023 16:45:42,1696956342826,-4,10/10/2023 12:45:42,121155,36,questionnaire-p3ei,,32143172,BLIND,9505365,,complete,,65257fa0b2e8ba32363e9580,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1536x864,1536x731,,,,Consent,9,SoundCheckPassed,6,test passed,,,,,,4,,,yes,No,Si,,,,6673
1,1696953603197,10/10/2023 16:00:03,1696953602834,-5,10/10/2023 11:00:02,121155,36,questionnaire-p3ei,,32140803,BLIND,9504642,,complete,,652574f186977297ba82104e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,2560x1440,1421x1055,,,,Consent,9,SoundCheckPassed,8,test passed,,,,,,,,4,yes,No,Si,,,,17860
1,1696952996045,10/10/2023 15:49:56,1696952918453,-5,10/10/2023 10:48:38,121155,36,questionnaire-p3ei,,32140474,BLIND,9504494,,complete,,6525723f1a5875a8c61372e1,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1920x1080,1530x773,,,,Consent,9,SoundCheckPassed,1,test passed,5,,,,,,,,yes,No,Si,,,,39260
1,1696945258845,10/10/2023 13:40:58,1696945256422,-4,10/10/2023 09:40:56,121155,36,questionnaire-p3ei,,32133029,BLIND,9501743,,complete,,6525546212d0dad200f23004,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x739,,,,Consent,9,SoundCheckPassed,5,test passed,,,,,2,,,,yes,No,Si,,,,163944
1,1696944474854,10/10/2023 13:27:54,1696944474729,-5,10/10/2023 08:27:54,121155,36,questionnaire-p3ei,,32132668,BLIND,9501625,,complete,,6525514cd90d610f27a1977f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 118.0,1710x1112,1605x894,,,,Consent,9,SoundCheckPassed,2,test passed,,3,,,,,,,yes,No,Si,,,,6464
1,1696943772973,10/10/2023 13:16:12,1696943770117,-5,10/10/2023 08:16:10,121155,36,questionnaire-p3ei,,32132304,BLIND,9501517,,complete,,65254db6631d9ec0b489b130,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1366x768,1517x687,,,,Consent,9,SoundCheckPassed,6,test passed,,,,,,8,,,yes,No,Si,,,,10422
1,1696943414664,10/10/2023 13:10:14,1696943413788,-4,10/10/2023 09:10:13,121155,36,questionnaire-p3ei,,32132081,BLIND,9501466,,complete,,65254d23757964ca8410723f,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,,,,Consent,9,SoundCheckPassed,4,test passed,,,,1,,,,,yes,No,Si,,,,16744
1,1696942167809,10/10/2023 12:49:27,1696942168921,-4,10/10/2023 08:49:28,121155,36,questionnaire-p3ei,,32131303,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Consent,9,SoundCheckPassed,7,test passed,,,,,,,6,,yes,No,Si,,,,21004
1,1696941474855,10/10/2023 12:37:54,1696941467649,-5,10/10/2023 07:37:47,121155,36,questionnaire-p3ei,,32130894,BLIND,9501120,,complete,,65254594b6b338a9186d24c0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x963,,,,Consent,9,SoundCheckPassed,3,test passed,,,4,,,,,,yes,No,Si,,,,3518
1,1696910945612,10/10/2023 04:09:05,1696910945474,-4,10/10/2023 00:09:05,121155,36,questionnaire-p3ei,,32123407,BLIND,9498805,,complete,,6524ce587eb28ad70bcb2a28,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x815,,,,Consent,9,SoundCheckPassed,5,test passed,,,,,8,,,,yes,No,Si,,,,25043
1,1696910282054,10/10/2023 03:58:02,1696910281904,-7,09/10/2023 20:58:01,121155,36,questionnaire-p3ei,,32123385,BLIND,9498798,,complete,,6524cbbc0379b41f3ed5d88e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1280x800,1280x715,,,,Consent,9,SoundCheckPassed,4,test passed,,,,8,,,,,yes,No,Si,,,,23767
1,1696909723031,10/10/2023 03:48:43,1696909722856,-4,09/10/2023 23:48:42,121155,36,questionnaire-p3ei,,32123342,BLIND,9498791,,complete,,6524c98e61a6306ee204ea29,computer,Desktop or Laptop,Mac OS 10.15,Firefox 117.0,1440x900,1440x686,,,,Consent,9,SoundCheckPassed,7,test passed,,,,,,,8,,yes,No,Si,,,,24072
1,1696906095970,10/10/2023 02:48:15,1696906095801,-7,09/10/2023 19:48:15,121155,36,questionnaire-p3ei,,32123232,BLIND,9498747,,complete,,6524bb5c20d972fe6f9d0735,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.1,1440x900,1440x820,,,,Consent,9,SoundCheckPassed,2,test passed,,6,,,,,,,yes,No,Si,,,,21725
1,1696905165091,10/10/2023 02:32:45,1696905164747,-7,09/10/2023 19:32:44,121155,36,questionnaire-p3ei,,32123167,BLIND,9498736,,complete,,6524b7c03c3a09efe7d5d7eb,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,,,,Consent,9,SoundCheckPassed,8,test passed,,,,,,,,5,yes,No,Si,,,,32093
1,1696905147805,10/10/2023 02:32:27,1696905147590,-7,09/10/2023 19:32:27,121155,36,questionnaire-p3ei,,32123161,BLIND,9498734,,complete,,6524b7a9aac78e55d0d91df4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1470x956,1412x770,,,,Consent,9,SoundCheckPassed,5,test passed,,,,,4,,,,yes,No,Si,,,,4454
1,1696904870134,10/10/2023 02:27:50,1696904869943,-7,09/10/2023 19:27:49,121155,36,questionnaire-p3ei,,32123133,BLIND,9498726,,complete,,6524b6991d2c8c69f3def1c5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1680x1050,1680x940,,,,Consent,9,SoundCheckPassed,1,test passed,3,,,,,,,,yes,No,Si,,,,9276
1,1696902991504,10/10/2023 01:56:31,1696902991180,-4,09/10/2023 21:56:31,121155,36,questionnaire-p3ei,,32123029,BLIND,9498700,,complete,,6524af26e408f4582fec10d8,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x955,,,,Consent,9,SoundCheckPassed,6,test passed,,,,,,3,,,yes,No,Si,,,,8563
1,1696898669248,10/10/2023 00:44:29,1696898668981,-4,09/10/2023 20:44:28,121155,36,questionnaire-p3ei,,32122801,BLIND,9498632,,complete,,65249d76dbbe6c6799813068,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1239x907,,,,Consent,9,SoundCheckPassed,4,test passed,,,,7,,,,,yes,No,Si,,,,62204
