Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,randomiser-dxqf,randomiser-ibiw,branch-tihy,Randomise questionnaire elements?,END QUESTIONNAIRE
1,1697160640969,13/10/2023 01:30:40,1697160640838,-5,12/10/2023 20:30:40,121155,36,questionnaire-yepb,,32210842,BLIND,9525092,,complete,,652899d99122c32ceb43bf7e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x706,,,,Final message,4,SoundCheckPassed,4,test passed,,,,8,,,,,yes,No,2799
1,1697175960460,13/10/2023 05:46:00,1697175960079,-4,13/10/2023 01:46:00,121155,36,questionnaire-yepb,,32211546,BLIND,9525258,,complete,,6528d34f1b911e3ded8d6392,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x931,,,,Final message,4,SoundCheckPassed,1,test passed,4,,,,,,,,yes,No,3963
1,1697246193077,14/10/2023 01:16:33,1697246194042,-4,13/10/2023 21:16:34,121155,36,questionnaire-yepb,,32231075,BLIND,9531298,,complete,,6529e894d5f312d8e02dbf2b,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x747,,,,Final message,4,SoundCheckPassed,7,test passed,,,,,,,4,,yes,No,3013
1,1697252193014,14/10/2023 02:56:33,1697252192039,-7,13/10/2023 19:56:32,121155,36,questionnaire-yepb,,32231404,BLIND,9531368,,complete,,6529fb06b58501d48d3035f9,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x993,,,,Final message,4,SoundCheckPassed,8,test passed,,,,,,,,4,yes,No,1103728
1,1697306546656,14/10/2023 18:02:26,1697306548871,-5,14/10/2023 13:02:28,121155,36,questionnaire-yepb,,32241857,BLIND,9533861,,complete,,652ad1f7a639f4cb5c294791,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,,,,Final message,4,SoundCheckPassed,5,test passed,,,,,6,,,,yes,No,1572
1,1697309918856,14/10/2023 18:58:38,1697309918643,-7,14/10/2023 11:58:38,121155,36,questionnaire-yepb,,32242670,BLIND,9534088,,complete,,652ae17910858a0642d0e3b5,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x739,,,,Final message,4,SoundCheckPassed,6,test passed,,,,,,5,,,yes,No,4754
1,1697331446752,15/10/2023 00:57:26,1697331448096,-4,14/10/2023 20:57:28,121155,36,questionnaire-yepb,,32245082,BLIND,9534870,,complete,,652b3668e8f3a7785d4aae74,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1280x720,1280x559,,,,Final message,4,SoundCheckPassed,5,test passed,,,,,4,,,,yes,No,3116
1,1697335363949,15/10/2023 02:02:43,1697335363666,-7,14/10/2023 19:02:43,121155,36,questionnaire-yepb,,32245132,BLIND,9534966,,complete,,652b45db99d7dea192d620b2,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1366x768,1366x651,,,,Final message,4,SoundCheckPassed,3,test passed,,,8,,,,,,yes,No,2406
1,1697335716363,15/10/2023 02:08:36,1697335716212,-7,14/10/2023 19:08:36,121155,36,questionnaire-yepb,,32245135,BLIND,9534992,,complete,,652b4714086dd362bc2962f8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,1280x800,1280x715,,,,Final message,4,SoundCheckPassed,2,test passed,,4,,,,,,,yes,No,24469
1,1697410657060,15/10/2023 22:57:37,1697410656787,-7,15/10/2023 15:57:36,121155,36,questionnaire-yepb,,32257635,BLIND,9538947,,complete,,652c6af7d96abb74680db2e6,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x731,,,,Final message,4,SoundCheckPassed,7,test passed,,,,,,,2,,yes,No,2127
1,1697416562033,16/10/2023 00:36:02,1697416561764,-4,15/10/2023 20:36:01,121155,36,questionnaire-yepb,,32257908,BLIND,9539061,,complete,,652c81314715bb2078456f4b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1359x725,,,,Final message,4,SoundCheckPassed,8,test passed,,,,,,,,1,yes,No,3378
1,1697420940712,16/10/2023 01:49:00,1697420940509,-5,15/10/2023 20:49:00,121155,36,questionnaire-yepb,,32258071,BLIND,9539125,,complete,,652c949e7ae78f67fed11ed2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1331x757,,,,Final message,4,SoundCheckPassed,4,test passed,,,,3,,,,,yes,No,1314
1,1697428510796,16/10/2023 03:55:10,1697428510581,-7,15/10/2023 20:55:10,121155,36,questionnaire-yepb,,32258355,BLIND,9539218,,complete,,652caf6c2e33a68d9a24c119,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1420x770,,,,Final message,4,SoundCheckPassed,6,test passed,,,,,,4,,,yes,No,2119
