word,bucket_q,uni_prob,bi_prob_smoothed
n1 e1 s a,uni4-bi3,-12.204726765715368,-15.188691675791963
t o ɾ1 a1,uni4-bi3,-12.198541343969666,-14.766616225884716
s o ɾ1 i1,uni4-bi3,-11.76381719299842,-16.329926124424503
s e n1 i1,uni4-bi3,-12.037086075313796,-15.849464997292472
i1 a1 s o,uni4-bi3,-11.564552116975651,-15.567629569825556
s o ɾ1 a1,uni4-bi3,-11.506738249633576,-15.279867925913846
i e ɾ1 a1,uni4-bi3,-11.819118070289464,-14.962269519141396
u e p1 o1,uni3-bi2,-15.487827779267278,-18.72693669917219
b1 a1 m u,uni3-bi2,-15.547583251799493,-18.31431543541469
i e t͡ʃ1 i1,uni3-bi2,-15.467739394514563,-17.92431307093025
n1 u1 r o,uni3-bi2,-15.566061756250797,-17.514333482976237
t͡ʃ a n1 a1,uni3-bi2,-15.51570852338837,-17.079431218252186
t a g1 u1,uni3-bi2,-15.534518236964251,-16.680045626825414
u a g1 e1,uni3-bi2,-15.373177395940406,-18.706199128966585
s1 u1 p i,uni3-bi2,-15.344365325003828,-18.321284025272508
t1 i1 g i,uni3-bi2,-15.321392508893029,-17.9054913794114
m1 o1 d i,uni3-bi2,-15.30574692985672,-17.502399394413963
n a f1 o1,uni3-bi2,-15.342122228955294,-17.109280006943386
l o f1 i1,uni3-bi2,-15.3512150214526,-16.667962747438494
b1 a1 t u,uni3-bi2,-15.172022462532514,-18.74220495425278
b1 a1 ɾ u,uni3-bi2,-15.149182537277834,-18.38322907882442
n u m1 a1,uni3-bi2,-15.177516432047994,-17.90535497385132
l a l1 u1,uni3-bi2,-15.13660491711141,-17.48601511603475
n u s1 o1,uni3-bi2,-15.12669351577452,-17.06338918508712
n1 o1 g o,uni3-bi2,-15.16544275257954,-16.691006048897304
n a p1 u1,uni3-bi2,-14.99995707609282,-18.72347911214941
l1 i1 r a,uni3-bi2,-14.96731691775734,-18.3426421823172
b1 i1 p i,uni3-bi2,-14.936499584174316,-17.949912027097074
u e d1 o1,uni3-bi2,-14.983353755408736,-17.50102406420218
n i x1 a1,uni3-bi2,-14.95783084428082,-17.09802677015514
r1 i1 s i,uni3-bi2,-14.99512036804552,-16.710154766115195
d1 i1 p i,uni3-bi2,-14.723888823527956,-18.74757961477233
b1 i1 s u,uni3-bi2,-14.737298311561268,-18.33968515988981
s u k1 i1,uni3-bi2,-14.75601668681556,-17.904238044815077
b o n1 u1,uni3-bi2,-14.771416133798969,-17.507277756780052
p o n1 u1,uni3-bi2,-14.756846176094474,-17.0963259364861
t i s1 u1,uni3-bi2,-14.742674519203277,-16.67680993406463
u1 o1 l e,uni3-bi2,-14.576938148913005,-18.72954055602536
s1 u1 n i,uni3-bi2,-14.597873755675746,-18.313210211097328
b a n1 u1,uni3-bi2,-14.577742680570612,-17.888900115728894
n u ɾ1 o1,uni3-bi2,-14.602928709637334,-17.51668747119673
g1 a1 n i,uni3-bi2,-14.614552732037474,-17.082304729644736
g e i1 o1,uni3-bi2,-14.572504013312498,-16.66603567790065
r i r1 a1,uni2-bi2,-16.840750904973635,-18.762960748027627
t u m1 u1,uni2-bi2,-16.816920477437538,-18.32664649277745
u1 i1 t͡ʃ o,uni2-bi2,-16.799788381358567,-17.92241580477147
k i x1 u1,uni2-bi2,-16.8400467589662,-17.48317662751732
i1 u1 t͡ʃ o,uni2-bi2,-16.799788381358567,-17.130428370570485
g1 o1 f e,uni2-bi2,-16.816005188279316,-16.709581638963506
ɲ1 i1 k o,uni2-bi2,-16.610335394407596,-18.713336497158135
r1 o1 k i,uni2-bi2,-16.601786802749796,-18.31872906044041
g1 u1 m i,uni2-bi2,-16.629517566694,-17.902945122959533
t͡ʃ1 e1 p o,uni2-bi2,-16.621425755478374,-17.486863812984176
m a r1 u1,uni2-bi2,-16.58057004968299,-17.05264039151847
p1 i1 x i,uni2-bi2,-16.620311802552926,-16.706762503864574
ɲ1 i1 t o,uni2-bi2,-16.367523525111757,-18.752914229486997
g e f1 i1,uni2-bi2,-16.39556336220239,-18.33931708184944
t u f1 a1,uni2-bi2,-16.371523746031986,-17.90591555195338
l o t͡ʃ1 e1,uni2-bi2,-16.362404996491595,-17.51718803161388
r o l1 u1,uni2-bi2,-16.398514709482864,-17.111253136923516
g1 u1 d i,uni2-bi2,-16.402548724794613,-16.664771376861395
ɲ1 i1 t a,uni2-bi2,-16.173850071883404,-18.722561725814337
ɲ1 i1 t e,uni2-bi2,-16.178781662964887,-18.311113743990724
i o r1 u1,uni2-bi2,-16.20800130211104,-17.90464295105602
t a ɲ1 i1,uni2-bi2,-16.1738500718834,-17.08648186481534
n e t͡ʃ1 o1,uni2-bi2,-16.185671513592716,-16.66738641079798
n i t͡ʃ1 a1,uni2-bi2,-15.9710480485368,-18.72813993238856
b1 e1 m u,uni2-bi2,-15.977234476647393,-18.31230073884121
ɲ1 a1 n o,uni2-bi2,-15.965643818219384,-17.90274981481915
x1 o1 ɾ i,uni2-bi2,-16.008922096990865,-17.530222655478536
n u b1 o1,uni2-bi2,-15.956352113442176,-17.093893499814307
g e x1 a1,uni2-bi2,-15.9638849081375,-16.68977863315242
l i r1 a1,uni2-bi2,-15.772514565830535,-18.74199170495905
m1 e1 t u,uni2-bi2,-15.751968420423427,-18.33953659582875
d1 a1 f i,uni2-bi2,-15.70714730202096,-17.920496912604097
x1 i1 m i,uni2-bi2,-15.735271340440171,-17.524182976727943
t͡ʃ o i1 e1,uni2-bi2,-15.734836324344457,-17.096069267410382
n a ɲ1 a1,uni2-bi2,-15.771970364991027,-16.690030796097798
t͡ʃ i ɲ1 o1,uni1-bi2,-20.61416997160333,-18.726120868779137
f u t͡ʃ1 u1,uni1-bi2,-20.546772949108338,-18.10625356461656
t͡ʃ1 u1 ɲ o,uni1-bi2,-20.768876334955458,-17.117809791276375
x u ɲ1 o1,uni1-bi2,-20.65327247190909,-16.940283010822313
t͡ʃ1 u1 ɲ a,uni1-bi2,-20.5752028817271,-16.775411546972105
t͡ʃ i t͡ʃ1 o1,uni1-bi2,-20.093809114686337,-18.879043450718303
r1 u1 t͡ʃ i,uni1-bi2,-19.973277689063593,-18.42607718108315
x u ɲ1 e1,uni1-bi2,-20.1537932823198,-17.8655038513065
t͡ʃ e ɲ1 o1,uni1-bi2,-19.899663022222047,-17.316936474961203
f u ɲ1 e1,uni1-bi2,-20.002181749011218,-17.088341839495996
t͡ʃ1 o1 ɲ o,uni1-bi2,-20.20340346753064,-16.64792715865264
r1 o1 x u,uni1-bi2,-19.446907321944533,-18.742490560749907
x u g1 u1,uni1-bi2,-19.341889165917593,-18.305574343311136
b u t͡ʃ1 u1,uni1-bi2,-19.32100548495498,-18.02627927555049
p u t͡ʃ1 u1,uni1-bi2,-19.30643552725049,-17.418230469974095
t͡ʃ a ɲ1 e1,uni1-bi2,-19.39525224155127,-17.08508239381028
t͡ʃ1 o1 t͡ʃ e,uni1-bi2,-19.379302165305056,-16.706400649460956
f1 e1 t͡ʃ i,uni1-bi2,-18.755712231541107,-18.71204453809675
f i ɲ1 i1,uni1-bi2,-18.735316840004565,-18.381356517335753
x u b1 u1,uni1-bi2,-18.660265505361508,-17.847323644740285
r u g1 u1,uni1-bi2,-18.759155790907485,-17.455264411345112
t͡ʃ1 u1 f e,uni1-bi2,-18.73797337220346,-17.09367023647426
t u ɲ1 o1,uni1-bi2,-18.659632710942113,-16.689329690699466
d u f1 u1,uni1-bi2,-18.01471897526159,-18.727392473879053
x u t1 u1,uni1-bi2,-18.071088986170334,-18.311268250922975
m u x1 u1,uni1-bi2,-18.067088306460935,-17.897939060128667
l u ɲ1 a1,uni1-bi2,-18.073172343318685,-17.47619614644133
t͡ʃ i l1 o1,uni1-bi2,-17.996730431520398,-17.076461742858168
r u f1 i1,uni1-bi2,-18.039509075353703,-16.710830255350178
t͡ʃ1 a1 d u,uni1-bi2,-17.358733386955517,-18.749920342982616
b1 i1 t͡ʃ i,uni1-bi2,-17.38363866655858,-18.332261894799707
t͡ʃ a g1 i1,uni1-bi2,-17.3458237866519,-17.888832101221357
t͡ʃ u s1 a1,uni1-bi2,-17.39119375304967,-17.47606431122894
l o ɲ1 o1,uni1-bi2,-17.38224504299788,-16.653241374514923
ɲ1 o1 ɲ u,uni1-bi1,-22.343822039205634,-30.009340155600633
ɲ1 u1 t͡ʃ u,uni1-bi1,-22.27393546655174,-27.922735549545287
t͡ʃ1 u1 ɲ u,uni1-bi1,-22.38893404971346,-26.21981338599433
